이벤트명,홈팀,어웨이팀,이벤트ID,시작일시(서울),종료일시(서울),장비명,스튜디오URL,overlayUrl
[2025 화랑대기 2차_U12] 인천송도FCU12 vs 경기기흥퍼시픽FCU12,HOME_TEAM,AWAY_TEAM,68a3d4c8c1a9753188a42800,2025-08-20 17:30,2025-08-20 22:29,경주_알천1A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3d4c8c1a9753188a42800,https://sportscoder.up.railway.app/unified/4/overlay
[2025 화랑대기 2차_U12] 경기여주SDFCU12 vs 경기PEC유나이티드,HOME_TEAM,AWAY_TEAM,68a3d567d753a05c0ab39fb8,2025-08-20 17:30,2025-08-20 21:21,경주_알천1B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3d567d753a05c0ab39fb8,https://sportscoder.up.railway.app/unified/5/overlay
[2025 화랑대기 2차_U11] 대구반야월초 vs 경기PEC유나이티드BLACK,HOME_TEAM,AWAY_TEAM,68a28b1b56ff009544ac1dda,2025-08-20 08:00,2025-08-20 12:22,경주_알천2A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a28b1b56ff009544ac1dda,https://sportscoder.up.railway.app/unified/6/overlay
[2025 화랑대기 2차_U11] 경기의정부신곡사커스포츠클럽U12 vs 광주JK풋볼U12,HOME_TEAM,AWAY_TEAM,68a28c2ac17e60528254a45f,2025-08-20 08:00,2025-08-20 12:22,경주_알천2B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a28c2ac17e60528254a45f,https://sportscoder.up.railway.app/unified/7/overlay
[2025 화랑대기 2차_U11] 서울SSFCU12 vs 전북JLFC축구단U12A,HOME_TEAM,AWAY_TEAM,68a28ea031f367a5429c2502,2025-08-20 08:00,2025-08-20 12:22,경주_알천3A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a28ea031f367a5429c2502,https://sportscoder.up.railway.app/unified/8/overlay
[2025 화랑대기 2차_U12] 경기월드클래스축구센터U12A vs 전북이리동풋볼스포츠클럽U12u12,HOME_TEAM,AWAY_TEAM,68a27f714de040693da42d2d,2025-08-20 17:30,2025-08-20 22:21,경주_알천4A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a27f714de040693da42d2d,https://sportscoder.up.railway.app/unified/10/overlay
[2025 화랑대기 2차_U12] 충남천안시라마시아축구클럽블루 vs 서울위례FCU12Red,HOME_TEAM,AWAY_TEAM,68a2870a829e0b382dbdcc22,2025-08-20 17:30,2025-08-20 22:22,경주_알천4B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a2870a829e0b382dbdcc22,https://sportscoder.up.railway.app/unified/11/overlay
[2025 화랑대기 2차_U12] 경북영천FCU12 vs 강원춘천HYUNFCU12블루,HOME_TEAM,AWAY_TEAM,68a28867526cbd034fd6a009,2025-08-20 17:30,2025-08-20 22:22,경주_알천5A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a28867526cbd034fd6a009,https://sportscoder.up.railway.app/unified/12/overlay
알천 5A 테스트,,,68a540bd4de040693da46411,2025-08-20 12:35,2025-08-20 13:00,경주_알천5A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a540bd4de040693da46411,
[2025 화랑대기 2차_U12] 부산장산초SCU12 vs 경기안산그리너스U12,HOME_TEAM,AWAY_TEAM,68a289614de040693da42d79,2025-08-20 17:30,2025-08-20 22:18,경주_알천5B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a289614de040693da42d79,https://sportscoder.up.railway.app/unified/13/overlay
[2025 화랑대기 2차_U12] 경남남양산FCU12 vs 충북제천PFCU12,HOME_TEAM,AWAY_TEAM,68a3ac734de040693da44097,2025-08-20 17:30,2025-08-20 22:16,경주_축구공원1A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3ac734de040693da44097,https://sportscoder.up.railway.app/unified/14/overlay
[2025 화랑대기 2차_U12] 경남김해외동FCU12 vs 경기안양AFAU12A,HOME_TEAM,AWAY_TEAM,68a3ae3e31f367a5429c380b,2025-08-20 17:30,2025-08-20 22:19,경주_축구공원1B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3ae3e31f367a5429c380b,https://sportscoder.up.railway.app/unified/15/overlay
[2025 화랑대기 2차_U12] 경기드림싸커U12 vs 강원원주태장초오렌지,HOME_TEAM,AWAY_TEAM,68a3af7a56ff009544ac31ec,2025-08-20 17:30,2025-08-20 22:27,경주_축구공원2A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3af7a56ff009544ac31ec,https://sportscoder.up.railway.app/unified/16/overlay
[2025 화랑대기 2차_U12] 경기김신욱FCU12 vs 광주베스트일레븐U12,HOME_TEAM,AWAY_TEAM,68a3b0ab31f367a5429c383c,2025-08-20 17:30,2025-08-20 22:29,경주_축구공원2B_변경,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3b0ab31f367a5429c383c,https://sportscoder.up.railway.app/unified/17/overlay
[2025 화랑대기 2차_U12] 충북청주연세FCU12축구클럽블루 vs 충남아산FCU12,HOME_TEAM,AWAY_TEAM,68a3b1d24de040693da44113,2025-08-20 17:30,2025-08-20 22:23,경주_축구공원3A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3b1d24de040693da44113,https://sportscoder.up.railway.app/unified/18/overlay
[2025 화랑대기 2차_U12] 서울FC난우 vs 서울신암FC,HOME_TEAM,AWAY_TEAM,68a3b2fd526cbd034fd6b4ce,2025-08-20 17:30,2025-08-20 22:24,경주_축구공원3B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3b2fd526cbd034fd6b4ce,https://sportscoder.up.railway.app/unified/19/overlay
[2025 화랑대기 2차_U12] 인천연수구청유소년축구단U12 vs 경기구성PECU12,HOME_TEAM,AWAY_TEAM,68a3b43cd753a05c0ab39d4e,2025-08-20 17:30,2025-08-20 22:29,경주_축구공원4A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3b43cd753a05c0ab39d4e,https://sportscoder.up.railway.app/unified/20/overlay
[2025 화랑대기 2차_U12] 경기진건초 vs 서울FC서울 U-12,HOME_TEAM,AWAY_TEAM,68a3d65b526cbd034fd6b755,2025-08-20 17:30,2025-08-20 22:24,경주_축구공원4B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3d65b526cbd034fd6b755,https://sportscoder.up.railway.app/unified/21/overlay
[2025 화랑대기 2차_U12] 인천축구의신U12 vs 대구TDNU12,HOME_TEAM,AWAY_TEAM,68a3d6c8c17e60528254ba9f,2025-08-20 17:30,2025-08-20 22:20,경주_축구공원5A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3d6c8c17e60528254ba9f,https://sportscoder.up.railway.app/unified/22/overlay
[2025 화랑대기 2차_U12] 경기FC싸커스토리U12 vs 대구샬롬코리아사커스쿨U12,HOME_TEAM,AWAY_TEAM,68a3d742829e0b382dbde36b,2025-08-20 17:30,2025-08-20 22:20,경주_축구공원5B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3d742829e0b382dbde36b,https://sportscoder.up.railway.app/unified/23/overlay
[2025 화랑대기 2차_U12] 경기의정부신곡사커스포츠클럽U12그린 vs 광주JK풋볼U12,HOME_TEAM,AWAY_TEAM,68a3d7cbc1a9753188a4286f,2025-08-20 17:30,2025-08-20 22:20,경주_축구공원6A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3d7cbc1a9753188a4286f,https://sportscoder.up.railway.app/unified/24/overlay
[2025 화랑대기 2차_U12] 인천김형일FCU12 vs 대구반야월초,HOME_TEAM,AWAY_TEAM,68a3d85ec1a9753188a42874,2025-08-20 17:30,2025-08-20 22:25,경주_축구공원6B_교체,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a3d85ec1a9753188a42874,https://sportscoder.up.railway.app/unified/25/overlay
